eco2,humidity,pressure,raw_ethanol,raw_h2,temperature,timestamp,fire_alarm
429,69.11488,1006.09998,3175,244,32.65514,60,0
413,69.13223,1006.09003,3177,234,32.63111,61,0
780,69.27499,1006.04999,3175,223,32.67803,63,0
951,69.38972,1006.09998,3175,213,32.76711,64,0
951,69.46135,1006.03998,3166,212,32.81822,65,0
952,69.57474,1006.08002,3167,212,32.91531,66,0
965,69.58771,1006.03003,3165,206,32.98035,67,0
1358,69.58733,1006.01001,3155,204,33.04977,68,0
1042,69.51237,1006.03998,3156,201,33.08964,69,0
888,69.45982,1006.03998,3151,201,33.09669,70,1
874,69.4068,1006.07001,3147,200,33.09231,71,1
1063,69.49539,1006.12,3149,203,33.26283,72,1
983,69.4026,1006.04999,3135,202,33.32958,73,1
832,69.29178,1006.07001,3140,210,33.33988,74,1
786,69.14854,1006.09003,3142,211,33.37097,75,1
572,68.94217,1006.0,3144,207,33.40797,77,1
806,68.83259,1005.94,3139,207,33.47511,78,1
920,68.7789,1006.0,3146,197,33.53519,79,1
920,68.75314,1006.0,3138,197,33.60748,80,1
923,68.76764,1006.01001,3145,199,33.69179,81,1
966,68.92119,1005.94,3138,205,34.0971,82,1
1330,68.826,1005.98999,3126,205,34.38816,83,1
1148,68.69135,1006.03003,3118,212,34.62486,84,1
1823,68.48573,1006.06,3118,219,34.66835,85,1
2161,68.42737,1006.04999,3107,227,35.00309,86,1
1724,68.18295,1006.0,3104,244,35.02998,87,1
1554,67.7906,1006.04999,3112,242,35.00118,88,1
1565,67.59444,1006.03998,3115,277,35.0172,89,1
3288,67.43669,1006.03003,3115,296,35.07671,90,1
2906,67.29765,1006.01001,3117,281,35.14347,91,1
1662,67.02747,1005.98999,3119,267,35.19115,92,1
1333,66.80889,1005.96997,3119,258,35.31437,93,1
1109,66.61768,1005.98999,3119,246,35.40783,94,1
1725,66.38794,1005.98999,3116,239,35.6205,95,1
1209,66.04004,1005.96997,3114,240,35.73494,96,1
1014,65.71941,1005.96997,3119,234,35.80666,97,1
935,65.47546,1005.97998,3122,228,35.88905,98,1
883,65.12766,1006.03003,3121,223,35.94418,99,1
869,64.82048,1005.97998,3126,220,36.01131,100,1
872,64.54935,1006.04999,3119,222,36.10325,101,1
907,64.33659,1006.01001,3120,221,36.16199,102,1
1117,64.27393,1005.96997,3118,218,36.37123,103,1
1053,63.9081,1005.97998,3116,209,36.44581,104,1
955,63.53655,1005.96997,3118,207,36.43017,106,1
5662,63.67102,1006.03003,3091,208,36.66,107,1
22463,63.80482,1006.03998,3057,224,37.10232,108,1
22463,63.72614,1006.02002,3056,238,37.45632,109,1
46143,63.98067,1005.94,3052,254,38.16681,110,1
65000,63.63392,1005.97998,3037,267,38.67455,111,1
41206,62.8253,1005.95001,3042,288,38.8134,112,1
7939,61.99646,1006.03998,3049,291,38.93452,113,1
3936,61.81192,1006.01001,3032,293,39.37054,114,1
5753,61.47594,1006.0,3036,292,39.87541,115,1
4392,60.59647,1005.95001,3056,316,39.98394,116,1
2954,59.82027,1005.98999,3072,324,40.03391,117,1
2192,59.21974,1005.98999,3091,321,40.08026,118,1
1802,58.63543,1005.92999,3091,318,40.05241,119,1
1746,58.03804,1005.94,3098,306,40.02628,120,1
1513,57.38468,1005.94,3109,302,40.02762,121,1
1338,56.97937,1005.96997,3114,367,40.05966,122,1
1269,56.53133,1005.96002,3118,356,40.05547,123,1
1353,56.13899,1006.01001,3120,333,40.05871,124,1
1583,55.85852,1005.97998,3132,320,40.09418,125,1
2026,55.72701,1005.92999,3113,322,40.09819,126,1
3457,56.0853,1005.94,3037,347,40.50255,127,1
3229,56.14529,1005.96997,3055,348,40.96336,128,1
2238,55.64032,1005.96997,3076,356,41.16421,129,1
1730,55.11999,1006.01001,3091,351,41.22696,130,1
1468,54.68292,1005.97998,3101,345,41.26663,131,1
1314,54.25167,1006.01001,3097,340,41.23783,132,1
1286,53.87897,1006.0,3109,350,41.15257,133,1
2640,53.65705,1005.98999,3111,377,41.09039,134,1
2640,53.46336,1005.98999,3113,367,41.07418,135,1
2422,53.45936,1005.91998,3118,363,41.11176,136,1
2570,53.1848,1005.94,3113,352,41.16383,137,1
1782,52.9377,1005.96002,3117,340,41.1171,138,1
1909,52.87151,1005.94,3116,339,41.31927,139,1
2273,52.72589,1005.96997,3109,347,41.54816,140,1
1992,52.49691,1005.96002,3102,345,41.53538,141,1
1881,52.28186,1005.88,3095,345,41.54434,142,1
3001,52.17466,1005.89001,3095,328,41.5554,143,1
2307,52.29855,1005.96002,3094,309,41.89854,144,1
3083,52.38733,1005.94,3085,308,42.25845,145,1
2373,52.12498,1005.96002,3091,304,42.416,146,1
1927,51.78652,1005.96997,3096,302,42.4139,147,1
1961,51.55306,1005.92999,3092,305,42.39197,148,1
2891,51.62096,1005.89001,3060,312,42.67902,149,1
2852,51.44072,1005.89001,3063,310,42.77306,150,1
3974,51.32046,1005.91998,3081,353,42.88845,151,1
3719,51.07956,1005.94,3088,342,42.95559,152,1
2971,50.74558,1005.88,3087,334,42.99469,153,1
2365,50.45099,1005.90997,3095,329,43.01853,154,1
2365,50.15087,1005.90997,3105,316,42.95559,155,1
2066,49.92514,1005.90002,3105,309,42.89818,156,1
1689,49.61815,1005.96997,3112,305,42.80224,157,1
1353,49.50418,1005.96997,3114,307,42.64183,158,1
2976,50.15087,1005.90002,3083,315,43.42556,159,1
4639,49.82834,1005.90997,3088,318,43.42384,160,1
2792,49.53842,1005.94,3092,321,43.35747,161,1
2205,49.38488,1005.89001,3098,320,43.36777,162,1
1844,49.40586,1005.90997,3097,332,43.45379,163,1
2271,49.42961,1005.92999,3095,365,43.65082,164,1
2834,49.35846,1005.96997,3089,366,43.96114,165,1
2591,49.14675,1005.96002,3088,387,44.07349,166,1
1941,48.6413,1005.96002,3087,373,44.0012,167,1
2557,48.36578,1005.92999,3084,385,44.01131,168,1
2408,48.11287,1005.95001,3061,390,44.14616,169,1
1841,47.67513,1005.94,3077,387,44.12594,170,1
1597,47.37291,1005.96997,3074,377,44.1555,171,1
1388,47.09234,1005.89001,3094,384,44.13166,172,1
1241,46.87643,1005.91998,3100,375,44.01474,173,1
1241,46.72937,1005.90002,3106,367,43.92338,174,1
1184,46.68283,1005.90997,3105,367,44.0546,175,1
1127,46.57593,1005.95001,3112,362,44.06929,176,1
1221,46.68951,1005.89001,3106,351,44.30981,177,1
1400,46.68026,1005.83002,3094,349,44.42635,178,1
1980,47.0109,1005.82001,3087,344,45.10117,179,1
3673,47.03798,1005.90002,3088,354,45.9116,180,1
4102,47.05868,1005.81,3058,351,46.60797,181,1
4149,46.42458,1005.95001,3065,353,47.28394,182,1
2318,45.58201,1005.91998,3075,347,47.17407,183,1
3797,45.01781,1005.91998,3090,344,47.25342,184,1
2866,44.40107,1005.95001,3088,345,47.23053,185,1
2149,43.9249,1005.82001,3097,319,47.19925,186,1
1599,43.50872,1005.88,3103,326,47.18151,187,1
1633,43.61982,1005.90997,3111,314,47.72053,188,1
2386,43.20097,1005.82001,3104,315,48.28682,189,1
1380,42.01078,1005.90002,3118,312,48.00949,191,1
1258,41.75234,1005.95001,3120,313,47.93758,192,1
916,41.5431,1005.88,3125,315,47.8611,193,1
882,41.30621,1005.92999,3125,318,47.74475,194,1
862,41.10899,1005.90997,3126,311,47.50061,195,1
895,41.04147,1005.94,3126,308,47.44873,196,1
1361,41.06312,1006.0,3128,308,47.39933,197,1
1361,41.12539,1005.91998,3124,307,47.35909,198,1
1728,41.3106,1005.92999,3130,312,47.29404,199,1
1291,41.30898,1005.90002,3131,315,47.16339,200,1
1291,41.55893,1005.91998,3124,354,47.15252,201,1
2542,41.87517,1005.97998,3125,368,47.3772,202,1
2016,41.62045,1005.94,3128,366,47.24522,203,1
1714,41.59737,1005.91998,3128,362,47.19543,204,1
1653,41.47406,1005.95001,3128,348,47.12429,205,1
1278,41.46681,1005.91998,3128,339,47.04494,206,1
1443,41.46633,1005.95001,3128,339,46.91696,207,1
1256,41.40844,1005.88,3134,373,46.80462,208,1
1482,41.34722,1005.89001,3128,372,46.51814,209,1
1333,41.56799,1005.88,3123,375,46.46168,210,1
1334,41.49637,1005.90002,3130,370,46.28468,211,1
1749,41.72029,1005.88,3126,378,46.31748,212,1
2739,42.03262,1005.87,3134,384,46.55533,213,1
3175,42.28382,1005.90002,3141,385,46.8626,214,1
1561,42.09423,1005.88,3147,403,46.81988,216,1
1561,41.92715,1005.90997,3154,398,46.63086,217,1
1252,41.92314,1005.90997,3151,397,46.57288,218,1
1252,41.82854,1005.79999,3156,392,46.51928,219,1
1188,41.81452,1005.89001,3165,398,46.45786,220,1
1228,41.76321,1005.87,3166,400,46.27781,221,1
1050,41.8047,1005.85999,3172,398,46.19217,222,1
937,42.0125,1005.87,3170,400,46.14773,223,1
882,42.02032,1005.85999,3167,386,45.96825,224,1
842,41.95299,1005.88,3161,369,45.82081,225,1
809,41.82167,1005.87,3157,374,45.43362,226,1
767,41.78333,1005.90997,3158,378,45.00999,227,1
747,41.89024,1005.91998,3159,373,44.95487,228,1
753,41.97063,1005.71997,3156,363,44.8122,229,1
867,42.13057,1005.78003,3151,354,44.70062,230,1
867,42.41962,1005.87,3146,341,44.46392,232,1
1185,42.69485,1005.87,3148,344,44.48738,233,1
1043,42.77534,1005.90997,3142,336,44.26346,234,1
898,42.85889,1005.91998,3144,400,43.98594,235,1
836,43.12706,1005.88,3146,364,43.82553,236,1
1672,43.68038,1005.94,3145,347,44.33231,237,1
1216,43.64872,1005.92999,3142,341,44.24629,238,1
978,43.6655,1005.89001,3148,351,44.15665,239,1
949,43.74952,1005.92999,3149,340,44.10362,240,1
931,43.87426,1005.92999,3128,335,44.12537,241,1
933,43.93959,1005.92999,3145,338,44.14539,242,1
911,44.09485,1005.92999,3147,327,44.07883,243,1
1079,44.25478,1005.96997,3150,331,44.11621,244,1
1411,44.39306,1005.90997,3142,338,44.1391,245,1
1626,44.52562,1005.90997,3138,331,44.08226,246,1
1120,44.53773,1005.90997,3144,337,44.06185,247,1
1006,44.58809,1005.79999,3133,394,43.9743,249,1
885,44.54832,1005.89001,3140,390,43.75744,250,1
810,44.5775,1005.85999,3139,376,43.58807,251,1
767,44.66095,1005.83002,3143,337,43.53905,252,1
1064,44.92874,1005.94,3137,335,43.6306,253,1
992,44.92083,1005.87,3134,320,43.64758,254,1
1280,45.02878,1005.90997,3129,317,43.72902,255,1
1209,45.10174,1005.89001,3124,312,43.8385,256,1
1286,45.4896,1005.83002,3121,318,44.12117,257,1
1482,45.80755,1005.85999,3116,325,44.68365,258,1
1669,45.66813,1005.79999,3109,326,44.92607,259,1
2039,45.54234,1005.81,3103,327,45.24612,260,1
1383,45.15009,1005.83002,3105,328,45.12806,261,1
1331,44.98415,1005.90002,3105,331,45.21847,262,1
1575,44.87238,1005.82001,3115,330,45.54501,263,1
1570,44.76709,1005.89001,3119,330,45.89291,264,1
1426,44.34433,1005.91998,3121,330,45.80975,265,1
1977,44.2358,1005.85999,3117,328,45.95451,266,1
1673,44.10801,1005.90002,3120,336,46.13724,267,1
1356,43.86921,1005.90997,3121,338,46.25874,268,1
1521,43.46743,1005.96002,3117,338,46.40255,270,1
1543,43.28985,1005.94,3119,341,46.45767,271,1
2567,43.16912,1005.95001,3124,347,46.47865,272,1
3705,43.41221,1005.96002,3126,356,46.61045,273,1
2466,43.29414,1005.90002,3121,357,46.61102,274,1
7065,43.13946,1005.97998,3118,358,46.60149,275,1
7065,43.08853,1005.94,3120,374,46.48991,276,1
3831,42.82198,1005.95001,3128,375,46.36917,277,1
1707,42.55896,1005.91998,3128,372,46.21067,278,1
1195,42.22717,1005.96002,3134,367,45.86601,279,1
1049,42.04493,1005.96997,3137,372,45.56236,280,1
1019,42.08918,1005.96997,3138,366,45.29476,282,1
1439,42.24234,1005.96997,3147,365,45.26653,283,1
2021,42.5746,1006.02002,3122,371,45.37773,284,1
1952,42.62381,1005.96997,3123,369,45.46814,285,1
1952,42.59205,1006.0,3132,372,45.37048,286,1
1389,42.55877,1005.96997,3132,356,45.21999,287,1
1098,42.60845,1005.96002,3135,366,45.10136,288,1
1359,42.68475,1005.95001,3136,335,45.03975,289,1
1109,42.59176,1005.96002,3142,326,44.88735,290,1
986,42.76714,1005.98999,3143,309,44.86923,291,1
1363,42.97543,1005.96997,3143,316,44.84158,292,1
1093,43.02845,1005.94,3142,313,44.69852,293,1
1578,43.24617,1005.97998,3134,324,44.73782,294,1
1194,43.23387,1005.96997,3140,341,44.58389,295,1
993,43.29748,1005.90997,3142,327,44.38972,296,1
885,43.40916,1005.96002,3139,316,44.2667,297,1
1574,43.80999,1005.95001,3128,311,44.487,298,1
1724,43.96181,1005.90997,3123,291,44.8,299,1
1626,44.00854,1005.91998,3124,305,44.83185,300,1
1210,43.90459,1005.94,3131,304,44.71092,301,1
987,43.82172,1005.92999,3129,315,44.54346,302,1
884,43.82811,1005.92999,3136,305,44.43455,303,1
847,43.89801,1005.90997,3135,308,44.37771,304,1
816,43.92595,1005.95001,3136,373,44.31801,305,1
806,43.98594,1005.90997,3139,371,44.24133,306,1
801,44.03534,1005.92999,3143,336,44.20586,307,1
753,44.18726,1005.96997,3145,316,44.13223,308,1
731,44.22092,1005.95001,3142,304,44.067,309,1
718,44.25621,1005.94,3141,305,43.95962,310,1
705,44.27204,1005.95001,3141,296,43.82038,311,1
705,44.27748,1005.97998,3142,288,43.64891,312,1
681,44.35072,1005.98999,3139,282,43.48621,313,1
664,44.37847,1006.0,3136,285,43.21766,314,1
642,44.38992,1005.95001,3136,273,42.8751,315,1
619,44.5653,1005.91998,3138,273,42.71851,316,1
778,44.73991,1005.98999,3135,272,42.49077,317,1
807,44.9585,1005.83002,3132,262,42.35287,318,1
943,45.24345,1005.75,3137,267,42.30843,319,1
820,45.57238,1005.95001,3127,262,42.33761,320,1
915,45.70808,1005.90002,3124,258,42.3317,321,1
846,45.79811,1005.87,3124,262,42.29889,322,1
738,45.85981,1005.85999,3125,251,42.22221,323,1
705,45.97521,1005.79999,3126,244,42.12952,324,1
1040,46.22698,1005.85999,3133,247,42.09003,325,1
947,46.45319,1005.81,3128,251,42.0084,326,1
903,46.65298,1005.85999,3134,252,41.97006,327,1
825,46.7968,1005.83002,3132,270,42.04044,328,1
716,46.90847,1005.85999,3132,253,42.06505,329,1
648,47.06202,1005.89001,3137,246,42.08946,330,1
636,47.20306,1005.89001,3134,254,42.09576,331,1
636,47.35126,1005.83002,3135,255,42.12379,332,1
791,47.38941,1005.76001,3131,242,41.93993,333,1
700,47.5852,1005.95001,3133,236,42.01965,334,1
592,47.64462,1005.85999,3134,248,41.90025,335,1
592,47.68333,1005.90997,3131,241,41.83044,336,1
629,47.73273,1005.88,3131,235,41.84113,337,1
612,47.8056,1005.85999,3133,237,41.90598,338,1
837,47.77765,1005.83002,3131,231,41.88862,339,1
670,47.82715,1005.90002,3132,232,41.9054,340,1
1091,47.86682,1005.78003,3132,228,41.86077,341,1
917,47.94664,1005.88,3132,229,41.78257,342,1
917,48.16799,1005.85999,3126,218,41.93802,343,1
1462,48.38142,1005.91998,3123,232,42.01508,344,1
1127,48.38076,1005.88,3124,228,41.93363,345,1
935,48.48804,1005.89001,3125,230,41.84361,346,1
881,48.46601,1005.85999,3126,234,41.79878,347,1
831,48.44475,1005.83002,3123,229,41.73775,348,1
711,48.4046,1005.89001,3123,216,41.71886,349,1
924,48.4746,1005.83002,3124,221,41.77551,350,1
1092,48.74239,1005.92999,3109,222,42.14401,352,1
1599,48.81678,1005.89001,3109,213,42.38358,353,1
1729,48.67582,1005.98999,3099,233,42.60464,354,1
1448,48.47574,1005.92999,3087,229,42.61761,355,1
2565,48.52123,1005.91998,3074,251,42.81082,356,1
2554,48.44875,1005.97998,3106,245,43.19668,357,1
1430,47.97745,1005.98999,3134,206,43.11638,358,1
1065,47.65806,1005.98999,3134,208,43.13335,359,1
945,47.36042,1005.97998,3129,285,43.15395,360,1
1035,47.16625,1005.96002,3144,273,43.11371,361,1
892,47.01586,1005.98999,3144,203,43.12229,362,1
836,46.87243,1006.01001,3136,197,43.07766,363,1
2608,47.24255,1005.95001,3128,201,43.5524,364,1
4371,47.46075,1005.90002,3148,207,45.0737,365,1
3189,46.97485,1005.96002,3154,221,45.47653,366,1
2336,46.43078,1006.01001,3152,226,45.73898,367,1
2336,45.79735,1005.94,3161,256,45.74165,368,1
1106,45.03794,1005.98999,3162,239,45.72067,369,1
949,44.11345,1005.91998,3162,252,45.55111,371,1
1498,43.92157,1005.96002,3158,232,45.63141,372,1
1222,43.50376,1005.87,3165,214,45.42427,373,1
1297,43.33563,1005.97998,3158,212,45.41492,374,1
1064,43.02206,1005.87,3166,205,45.2467,375,1
1064,42.84372,1005.83002,3168,220,45.11089,376,1
1782,42.729,1005.87,3170,207,45.0119,377,1
1489,42.64917,1005.87,3174,204,44.89937,378,1
1269,42.66424,1005.88,3173,203,44.61346,379,1
1223,42.73167,1005.91998,3174,194,44.56253,380,1
1140,42.92669,1005.90997,3174,184,44.51065,381,1
1013,42.98086,1005.85999,3175,183,44.42043,382,1
1245,43.16254,1005.88,3177,193,44.40155,383,1
1329,43.26105,1005.94,3178,200,44.34414,384,1
1008,43.36729,1005.96002,3177,203,44.0567,386,1
1379,43.35222,1005.82001,3169,201,43.86406,387,1
1096,43.34946,1005.95001,3167,206,43.6121,388,1
1013,43.39027,1005.88,3172,204,43.45989,389,1
954,43.50529,1005.88,3180,206,43.3424,390,1
870,43.61811,1005.92999,3085,358,43.3176,391,1
836,43.70298,1005.88,2914,319,43.23826,392,1
819,43.8385,1005.96997,2931,296,43.14289,393,1
1501,44.05022,1006.03003,2979,305,43.15319,394,1
1002,44.11373,1006.03003,3088,407,42.98763,395,1
2066,44.41833,1005.98999,3106,312,43.03265,396,1
1644,44.68117,1005.94,3116,340,43.23807,397,1
1637,44.91377,1005.92999,3116,254,43.67371,398,1
1564,44.76547,1005.83002,3120,337,43.64395,399,1
1607,44.77844,1005.92999,3123,269,43.67504,400,1
1460,44.84158,1005.92999,3123,261,43.82744,401,1
1086,44.62309,1005.91998,3121,344,43.65902,403,1
941,44.56673,1005.91998,3122,327,43.57796,404,1
862,44.5591,1005.94,3118,322,43.50224,405,1
991,44.62471,1005.95001,3116,288,43.47858,406,1
1248,44.71083,1005.96002,3122,268,43.4391,407,1
1668,44.87638,1006.0,3125,253,43.61496,408,1
1446,44.91224,1005.92999,3094,255,43.66779,409,1
1138,44.90929,1005.96997,3129,240,43.64967,410,1
1015,44.9419,1006.01001,3143,235,43.63251,411,1
1088,44.94219,1005.96002,3140,240,43.61153,412,1
930,44.94524,1005.97998,3132,237,43.60867,413,1
1144,44.87219,1005.96997,3149,238,43.44692,414,1
927,44.79628,1005.94,3141,230,43.24093,415,1
968,44.78769,1005.95001,3137,235,43.20526,416,1
868,44.84749,1005.95001,3131,233,43.15739,417,1
1384,44.98777,1005.89001,3131,232,43.14728,418,1
1967,45.2322,1005.83002,3139,237,43.38799,419,1
1690,45.2817,1005.91998,3136,237,43.56709,420,1
1165,45.11013,1005.87,3144,226,43.4803,421,1
929,44.88487,1005.85999,3145,223,43.28899,422,1
861,44.79771,1005.85999,3136,210,43.18523,423,1
861,44.93828,1005.82001,3135,225,43.24417,424,1
1981,45.05539,1005.90997,3136,220,43.35365,425,1
1435,44.92931,1005.82001,3135,231,43.23826,426,1
1052,44.96717,1005.87,3136,220,43.25676,427,1
1550,45.24717,1005.87,3153,227,43.37692,428,1
2673,45.16249,1005.89001,3142,231,43.28537,429,1
1753,45.16554,1005.83002,3151,220,43.28842,430,1
1206,45.01009,1005.91998,3146,214,43.15872,431,1
1442,45.27578,1005.92999,3147,240,43.35442,432,1
1347,45.0902,1005.90002,3121,260,43.02769,433,1
1111,45.03479,1005.92999,3140,223,42.85965,434,1
1225,45.06845,1005.97998,3144,239,42.72232,435,1
1361,45.23077,1005.97998,3150,236,42.77096,436,1
1909,45.41283,1006.03003,3152,241,42.93461,437,1
1625,45.56971,1005.97998,3148,242,43.10684,438,1
1757,45.63074,1006.01001,3144,248,43.18314,439,1
3160,45.66793,1005.96997,3154,250,43.2436,440,1
55190,46.28468,1005.97998,3156,268,44.15379,441,1
65000,46.13886,1005.94,3165,315,44.41509,442,1
10917,45.80231,1005.97998,3173,320,44.43436,443,1
10917,45.40129,1005.94,3174,301,44.38839,444,1
2382,45.02821,1005.95001,3181,287,44.2234,445,1
1376,44.78664,1005.96002,3182,269,44.1637,446,1
1118,44.60144,1005.96002,3179,265,44.13109,447,1
1017,44.44904,1006.07001,3178,261,44.02847,448,1
959,44.31849,1006.03003,3176,257,44.00082,449,1
1081,44.24925,1006.0,3182,264,43.89858,450,1
977,44.23065,1006.0,3185,258,43.84995,451,1
886,44.2297,1006.01001,3184,251,43.90812,452,1
873,44.17915,1005.94,3184,252,43.90144,453,1
866,44.16828,1005.95001,3180,247,43.87932,454,1
866,44.13919,1005.94,3187,249,43.86749,455,1
840,44.12498,1005.96002,3183,242,43.85109,456,1
1093,44.12546,1006.01001,3183,250,43.81752,457,1
983,44.18354,1005.97998,3184,245,43.79578,458,1
868,44.1514,1005.96997,3173,240,43.73798,459,1
810,44.10067,1005.95001,3178,240,43.536,460,1
831,44.18554,1005.95001,3180,237,43.5957,461,1
854,44.21587,1005.95001,3180,239,43.52894,462,1
820,44.18383,1006.0,3173,228,43.39485,463,1
647,44.13605,1005.95001,3166,224,43.25962,464,1
615,44.16656,1005.90997,3178,226,43.15109,465,1
637,44.26422,1005.97998,3178,212,43.11886,466,1
854,44.39726,1005.96997,3170,203,42.99679,468,1
685,44.40317,1005.97998,3184,209,42.85698,469,1
575,44.44637,1006.0,3184,204,42.77496,470,1
554,44.54203,1005.97998,3170,194,42.5848,471,1
553,44.68641,1005.92999,3183,203,42.52167,472,1
758,44.85073,1006.01001,3180,197,42.56535,473,1
777,45.02754,1005.89001,3196,190,42.55352,474,1
973,45.05405,1005.90002,3197,181,42.43164,475,1
829,45.09363,1005.96002,3200,183,42.31205,476,1
661,45.23516,1005.96997,3199,177,42.22717,477,1
578,45.29257,1005.97998,3196,181,42.22164,478,1
1056,45.43304,1005.96997,3192,171,42.21897,479,1
994,45.64753,1005.97998,3196,176,42.20924,480,1
858,45.77398,1005.95001,3197,178,42.17873,481,1
766,45.89806,1006.01001,3191,172,42.16747,482,1
654,45.96796,1005.98999,3190,174,42.07268,483,1
640,46.06857,1006.0,3194,171,42.03014,484,1
522,46.11959,1005.96002,3190,164,41.86287,485,1
522,46.12646,1005.94,3215,182,41.66451,486,1
1234,46.45128,1005.90002,3281,239,41.64124,487,1
1726,46.57202,1005.96002,3294,231,41.46614,488,1
1196,46.70792,1005.92999,3319,237,41.34769,489,1
1585,46.8277,1005.95001,3327,217,41.1396,490,1
1096,46.94452,1005.90997,3317,204,40.93494,491,1
921,47.05324,1005.97998,3313,190,40.72857,492,1
840,47.25256,1005.97998,3307,181,40.53268,493,1
801,47.42174,1005.97998,3305,177,40.41653,494,1
808,47.69926,1005.96997,3299,165,40.43293,495,1
845,47.95351,1005.98999,3304,173,40.45734,496,1
767,48.15102,1005.91998,3298,166,40.43579,497,1
849,48.34671,1006.03003,3289,167,40.45143,498,1
842,48.56567,1006.0,3282,163,40.48138,499,1
821,48.73791,1006.0,3284,155,40.51514,500,1
817,48.95124,1005.98999,3277,155,40.48214,501,1
1015,49.08991,1006.02002,3281,158,40.48252,502,1
1396,49.28646,1006.0,3279,162,40.46841,503,1
1071,49.35303,1005.98999,3271,154,40.44437,504,1
1071,49.47796,1006.0,3274,165,40.45277,505,1
970,49.65582,1005.98999,3271,159,40.4213,506,1
893,49.6788,1006.07001,3269,158,40.40356,507,1
832,49.8045,1005.98999,3266,153,40.39211,508,1
794,49.84102,1006.0,3264,160,40.39726,509,1
673,49.82491,1006.01001,3262,155,40.32269,510,1
815,49.92085,1006.0,3267,149,40.28225,511,1
2455,50.08688,1005.98999,3263,138,40.28206,512,1
6756,50.45347,1006.02002,3256,139,40.47108,513,1
10570,50.70724,1006.0,3269,159,40.54108,514,1
20344,50.98009,1006.01001,3272,161,40.63969,515,1
6849,50.90208,1005.96002,3270,177,40.61909,516,1
3205,50.81701,1006.03998,3271,193,40.6126,517,1
2140,50.65708,1006.0,3277,191,40.58094,518,1
1842,50.65613,1006.03003,3277,194,40.58781,519,1
1598,50.68941,1006.02002,3275,195,40.53383,520,1
1449,50.68655,1006.01001,3274,195,40.52773,521,1
1273,50.69494,1006.03998,3273,194,40.49015,522,1
1193,50.68254,1005.96002,3269,193,40.40031,523,1
1283,50.66156,1006.02002,3266,187,40.19451,524,1
1155,50.64154,1005.98999,3265,182,40.03658,525,1
990,50.64659,1005.97998,3266,181,39.77318,526,1
922,50.65432,1005.97998,3266,173,39.57405,527,1
879,50.7514,1006.03998,3265,175,39.35661,528,1
856,50.90408,1006.03003,3261,179,39.19258,529,1
840,51.09196,1006.02002,3255,175,39.11629,530,1
838,51.21746,1006.03003,3257,169,38.96656,531,1
